sid	SRS014629	SRS017520	SRS052756	SRS020349	SRS021969	SRS019379	SRS016191	SRS011584	SRS022158	SRS019989	SRS023850	SRS017700	SRS018769	SRS019600	SRS049237	SRS056695	SRS042858	SRS016111	SRS052620	SRS047335	SRS044742	SRS024068	SRS051505	SRS013542	SRS077751	SRS015168	SRS042428	SRS055298	SRS063417	SRS062520	SRS015425	SRS012294	SRS014494	SRS016559	SRS064376	SRS064704	SRS024428	SRS052330	SRS057807	SRS050184	SRS016516	SRS017497	SRS065347	SRS015073	SRS022734	SRS011355	SRS054962	SRS015054	SRS011269	SRS022092	SRS015225
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.00307	0.00116	0.00248	0.00116	0.0	0.00496	0.04152	0.00481	0.00098	0.00041	0.00885	0.0	0.00941	0.03049	0.02959	0.01827	0.00204	0.26345	0.0	0.00125	0.0	0.0	0.02358	0.0	0.00196	0.00614	0.02889	0.00101	0.7854	0.00272	0.05229	0.0	0.00539	0.002	0.00059	0.02386	0.00117	0.00779	0.02019	0.00198	0.0	0.00014	0.00264	0.14809	0.0	0.00171	0.01301	0.30966	0.00016	0.0	0.65198
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.0	0.0	0.05373	0.0	0.0	0.00983	0.0	0.0	0.0	0.0	0.26341	0.00036	0.01492	0.00984	0.0	0.0	0.0	0.01579	0.0	0.0	0.0	0.04466	0.0	0.01842	0.0	0.00483	0.0	0.0	0.0	0.01737	0.00249	0.0	1.85221	0.0	0.0442	0.01657	0.0	0.02111	0.0	0.0	0.01008	0.0	0.0	0.0	0.0	0.0	0.00287	0.0	0.00204	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0.00307	0.00116	0.0	0.00041	0.0	0.00496	0.03977	0.0	0.0	0.0	0.0	0.0	0.00941	0.02229	0.02794	0.01627	0.00039	0.26239	0.0	0.00112	0.0	0.0	0.0024	0.0	0.0	0.0	0.02726	0.0006	0.7854	0.0	0.05137	0.0	0.0	0.0	0.0	0.01056	0.00117	0.00449	0.01929	0.00089	0.0	0.0	0.00136	0.1261	0.0	0.0	0.00201	0.30879	0.0	0.0	0.61702
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.00307	0.00116	0.0	0.00041	0.0	0.00496	0.03977	0.0	0.0	0.0	0.0	0.0	0.00941	0.02229	0.02794	0.01627	0.00039	0.26239	0.0	0.00112	0.0	0.0	0.0024	0.0	0.0	0.0	0.02726	0.0006	0.7854	0.0	0.05137	0.0	0.0	0.0	0.0	0.01056	0.00117	0.00449	0.01929	0.00089	0.0	0.0	0.00136	0.1261	0.0	0.0	0.00201	0.30879	0.0	0.0	0.61702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.00673	0.02359	0.0	0.03672	0.0165	0.0	0.06162	0.0	0.00214	0.0188	0.08669	0.01082	0.00315	0.00384	0.00174	0.02074	0.00854	0.00522	0.00115	0.01037	0.33325	0.0	0.00843	0.57071	0.0	0.1392	0.0007	0.03541	0.01359	0.06701	0.00141	0.00967	0.01243	0.00128	0.00103	0.00301	0.03036	0.11045	0.00615	0.00363	0.00302	0.21834	0.00848	0.00863	0.01582	0.01654	0.01118	0.01564	0.33589	0.0	0.03549
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus	0.00123	0.0	0.0	0.0	0.0857	0.0	0.05029	0.0	0.0	0.00031	0.0	0.06355	0.08299	0.001	0.64378	0.00038	0.0	0.0	0.00144	0.0	0.07846	0.0	0.0	0.0	0.0	0.0952	0.0	0.00108	0.0	0.0	0.11685	0.0	0.02436	0.00092	0.20121	0.0	0.0	0.0	0.04534	0.0	0.0	0.0	0.12667	0.01079	0.0	0.0006	0.0	0.10701	0.00186	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.0034	0.0	0.00436	0.0	0.0	0.0	0.00133	0.00223	0.0	0.00712	0.00587	0.00067	0.13736	0.0	0.0157	0.00053	0.0	0.0	0.00095	0.00037	0.0	0.03031	0.0	0.00935	0.0	0.0	0.00037	0.00204	0.00918	0.00478	0.00053	0.0	1.39269	0.0	0.00779	0.0	0.0	0.0057	0.00127	0.00295	0.0	0.00026	0.0	0.00439	0.00669	0.00021	0.0077	0.0	0.0	0.00283	0.00175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.0034	0.0	0.00436	0.0	0.0	0.0	0.00133	0.00223	0.0	0.00712	0.00587	0.00067	0.13736	0.0	0.0157	0.00053	0.0	0.0	0.00095	0.00031	0.0	0.03031	0.0	0.00935	0.0	0.0	0.00037	0.00204	0.0	0.00478	0.00053	0.0	1.39269	0.0	0.00779	0.0	0.0	0.0057	0.00127	0.00295	0.0	0.00026	0.0	0.00439	0.00669	0.00021	0.0077	0.0	0.0	0.00283	0.00175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens	0.0	0.0	0.0	0.0	0.0	0.0	0.02154	0.0	0.0	0.0	0.0	0.0	0.0	0.01812	0.0198	0.00686	0.0	0.14545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01932	0.0	0.65775	0.0	0.02757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01487	0.0	0.0	0.0	0.0	0.07855	0.0	0.0	0.0	0.2007	0.0	0.0	0.42028
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	0.00173	0.0	0.00218	0.0	0.0	0.0	0.00104	0.00223	0.0	0.00608	0.0	0.00067	0.11877	0.0	0.00611	0.00053	0.0	0.0	0.0	6e-05	0.0	0.01207	0.0	0.0	0.0	0.0	0.00037	0.00114	0.0	0.00247	0.00053	0.0	1.33535	0.0	0.00314	0.0	0.0	0.0	0.00086	0.00151	0.0	0.00013	0.0	0.0	0.00341	0.00021	0.00633	0.0	0.0	0.00283	0.00175
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	0.0	0.00235	0.0	0.0	0.0	0.0	0.01392	0.0	0.0	0.04203	0.01659	0.00755	0.0	0.0	0.00162	0.0	0.0	0.0	0.0	0.0	0.04187	0.0	0.00288	0.03792	0.0	0.03684	0.0	0.01778	0.0	0.01969	0.0017	0.0	0.0196	0.0	0.0	0.0	0.00932	0.06063	0.00671	0.0	0.0	0.31323	0.00191	0.00967	0.0	0.01499	0.0	0.00152	0.52121	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.0	0.0	0.99452	0.0	0.00331	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.00409	0.0	0.00036	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0	0.0	0.0	0.00157	0.0	0.01168	0.0	0.0	0.0	0.0	0.00021	0.0	0.00106	0.00295	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0167	0.0	0.0	0.21035	0.0	0.0	0.0	0.10301	0.0	0.0	0.00841	0.0	0.0	0.0	0.00951	0.0	0.0	0.0	0.01542	0.0	0.0	0.0	0.0	0.00266	0.0	0.53249	0.0	0.00471	0.01008	0.0	0.0	0.0	0.01507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00217	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	0.00336	0.0	0.0	0.00167	0.00243	0.0	0.00282	0.0	0.0	0.00253	0.0	0.00086	0.0	0.0	0.0	0.0036	0.00021	0.0	0.0	0.00049	0.01018	0.0	0.0	0.13805	0.0	0.00333	0.0	0.0	0.02051	0.0	0.00034	0.00203	0.00255	0.0	0.0	0.0	0.0	0.00873	0.00028	0.0	0.0	0.70119	0.0	0.0	0.0	0.0002	0.0	0.0	0.01799	0.0	0.00298
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.00184	0.00157	0.04755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00663	0.0	0.07662	0.00149	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.03861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72622	0.0	0.0	0.00072	0.0	0.00319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.00062	0.0	0.00093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0.0	0.0	0.0	0.0	0.0	0.01426	0.0	0.0	0.0	0.0	0.62277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09112	0.0	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
