sid	SRS014629	SRS017520	SRS052756	SRS020349	SRS021969	SRS019379	SRS016191	SRS011584	SRS022158	SRS019989	SRS023850	SRS017700	SRS018769	SRS019600	SRS049237	SRS056695	SRS042858	SRS016111	SRS052620	SRS047335	SRS044742	SRS024068	SRS051505	SRS013542	SRS077751	SRS015168	SRS042428	SRS055298	SRS063417	SRS062520	SRS015425	SRS012294	SRS014494	SRS016559	SRS064376	SRS064704	SRS024428	SRS052330	SRS057807	SRS050184	SRS016516	SRS017497	SRS065347	SRS015073	SRS022734	SRS011355	SRS054962	SRS015054	SRS011269	SRS022092	SRS015225
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40152	0.61459	3.16344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81772	0.0	0.0	0.0	0.0	0.96576	0.0	0.0	0.0	0.0	0.0	0.0	0.27018	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.0	0.00184	0.08232	0.00328	0.0	0.05921	0.00177	0.06576	0.00517	0.00658	0.73637	0.00092	0.16607	0.00984	0.10616	0.00475	0.0	0.07788	0.00504	0.0	0.0	0.30655	0.0	0.02053	0.0	0.02301	0.00062	0.0036	0.0	0.01969	0.00552	0.00519	3.84406	0.0	0.22048	0.03945	0.00204	0.02365	0.00155	0.01753	0.01008	0.0025	0.00046	0.0059	0.00121	0.0	0.00512	0.0	0.0058	0.0	0.00274
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0	0.00184	0.08232	0.00328	0.0	0.05921	0.00177	0.06576	0.00517	0.00658	0.73637	0.00092	0.16607	0.00984	0.10616	0.00475	0.0	0.07788	0.00504	0.0	0.0	0.30655	0.0	0.02053	0.0	0.02301	0.00062	0.0036	0.0	0.01969	0.00552	0.00519	3.84406	0.0	0.22048	0.03945	0.00204	0.02365	0.00155	0.01753	0.01008	0.0025	0.00046	0.0059	0.00121	0.0	0.00512	0.0	0.0058	0.0	0.00274
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_vaginalis	0.05553	0.02082	0.0	0.0	0.0	0.0	0.0	0.0	0.11137	0.04252	0.0	0.04156	0.00231	0.00152	0.10884	0.05934	0.0	0.04151	0.0	0.21747	0.4396	0.0	0.05589	0.0	0.0	0.2018	0.0	0.89294	0.27142	0.0	0.00848	0.0	0.0816	0.0007	0.21761	0.0	0.0	1.38047	0.0014	0.48564	0.0	0.0	0.0	0.17471	0.0	0.04256	0.12081	0.0	0.62748	0.0	0.1492
k__Bacteria|p__Firmicutes|c__Negativicutes	0.00174	0.0	0.00473	0.00479	0.0	0.0	0.00525	0.02283	0.00279	0.0078	1.82039	0.00293	0.04341	0.02298	0.01465	0.0	0.0	0.0	0.01533	0.00112	0.03422	0.04795	0.97643	1.03977	0.0	0.01079	0.00089	0.01022	0.0	0.004	0.00038	0.0	0.05399	0.0	0.0112	0.00821	0.0	0.06212	0.00167	0.04445	0.0	0.9061	0.00471	0.02114	0.03265	0.0046	0.0033	0.00026	0.04574	0.0	0.00095
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00174	0.0	0.00473	0.00479	0.0	0.0	0.00525	0.02283	0.00279	0.0078	1.82039	0.00293	0.04341	0.02298	0.01465	0.0	0.0	0.0	0.01533	0.00112	0.03422	0.04795	0.97643	1.03977	0.0	0.01079	0.00089	0.01022	0.0	0.004	0.00038	0.0	0.05399	0.0	0.0112	0.00821	0.0	0.06212	0.00167	0.04445	0.0	0.9061	0.00471	0.02114	0.03265	0.0046	0.0033	0.00026	0.04574	0.0	0.00095
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.00174	0.0	0.00254	0.00479	0.0	0.0	0.00525	0.02283	0.00279	0.0078	1.82039	0.00293	0.04341	0.02298	0.01465	0.0	0.0	0.0	0.01533	0.00112	0.03422	0.04795	0.97643	1.03977	0.0	0.01079	0.00089	0.01022	0.0	0.004	0.00038	0.0	0.03554	0.0	0.0112	0.00821	0.0	0.06212	0.00167	0.04445	0.0	0.9061	0.00448	0.02114	0.03265	0.0046	0.0033	0.00026	0.04574	0.0	0.00095
k__Bacteria|p__Proteobacteria	0.03873	0.17269	0.01508	0.08832	0.00138	0.03077	0.07016	0.09607	0.02443	0.06444	0.3162	0.0136	0.12266	0.06565	0.03818	0.06829	0.0075	0.3418	0.00187	0.00717	0.04813	0.01555	0.06849	0.0732	0.00319	0.03011	0.09259	0.01705	0.97189	0.04755	0.07138	0.00216	0.18399	0.00407	0.0912	0.09521	0.07163	0.01619	0.03432	0.28111	0.00532	0.02441	0.0167	0.15663	0.0	0.01144	0.08066	0.34696	0.01772	0.0461	0.74239
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	0.00174	0.0	0.0	0.00479	0.0	0.0	0.00222	0.00963	0.0	0.00677	1.60045	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.01216	0.00067	0.03118	0.03096	0.97486	0.98095	0.0	0.00593	0.0	0.00144	0.0	0.004	0.00038	0.0	0.0	0.0	0.00631	0.0	0.0	0.05498	0.00031	0.0	0.0	0.88828	0.00045	0.01218	0.0	0.00238	0.00021	0.00026	0.04034	0.0	0.00095
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_microaerophilus	0.0	0.0	0.0	0.00409	0.0	0.0	0.00191	0.00963	0.0	0.00633	1.60045	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.03118	0.02331	0.97486	0.97734	0.0	0.00593	0.0	0.00144	0.0	0.004	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.05347	0.00031	0.0	0.0	0.88684	0.0	0.0	0.0	0.00227	0.0	0.00026	0.03975	0.0	0.00095
k__Bacteria|p__Cyanobacteria	0.26927	0.0	0.22994	0.0	0.0	0.0	0.00011	0.31327	0.0	0.0	0.0	0.0	0.0	0.0	0.13034	0.0	0.0	0.14645	0.0	0.16161	0.0	0.19112	0.08822	0.03745	0.0	0.0	0.16462	0.15256	0.55188	0.0	0.0	0.36667	0.00134	0.0	0.0	0.19249	0.0	0.0	0.0	0.2372	0.0	0.01362	0.0	0.0	0.0	0.0	0.18649	0.01554	0.20945	0.34049	0.18915
k__Bacteria|p__Cyanobacteria|c__Cyanophyceae	0.26927	0.0	0.22994	0.0	0.0	0.0	0.00011	0.31327	0.0	0.0	0.0	0.0	0.0	0.0	0.13034	0.0	0.0	0.14645	0.0	0.16161	0.0	0.19112	0.08822	0.03745	0.0	0.0	0.16462	0.15256	0.55188	0.0	0.0	0.36667	0.00134	0.0	0.0	0.19249	0.0	0.0	0.0	0.2372	0.0	0.01362	0.0	0.0	0.0	0.0	0.18649	0.01554	0.20945	0.34049	0.18915
k__Bacteria|p__Cyanobacteria|c__Cyanophyceae|o__Chroococcales|f__Cyanobacteriaceae|g__Cyanobacteriaceae_unclassified	0.26927	0.0	0.22994	0.0	0.0	0.0	0.0	0.31327	0.0	0.0	0.0	0.0	0.0	0.0	0.13034	0.0	0.0	0.14645	0.0	0.16156	0.0	0.19112	0.08822	0.03612	0.0	0.0	0.16462	0.15256	0.55188	0.0	0.0	0.36667	0.0	0.0	0.0	0.19249	0.0	0.0	0.0	0.2372	0.0	0.01309	0.0	0.0	0.0	0.0	0.18649	0.01554	0.20945	0.34049	0.18915
k__Bacteria|p__Cyanobacteria|c__Cyanophyceae|o__Chroococcales|f__Cyanobacteriaceae	0.26927	0.0	0.22994	0.0	0.0	0.0	0.0	0.31327	0.0	0.0	0.0	0.0	0.0	0.0	0.13034	0.0	0.0	0.14645	0.0	0.16156	0.0	0.19112	0.08822	0.03612	0.0	0.0	0.16462	0.15256	0.55188	0.0	0.0	0.36667	0.0	0.0	0.0	0.19249	0.0	0.0	0.0	0.2372	0.0	0.01309	0.0	0.0	0.0	0.0	0.18649	0.01554	0.20945	0.34049	0.18915
